,caption,image_path,subset,split,pathology,roi_text,noisy_text,corrected_text,med_umls_ids,magnification,height,width,not_histology,single_wsi
54,No epidermal involvement is seen.,BmF-kN6xvfk_image_fca92f68-1d55-4b01-b05d-f49b4aaeeeb0.jpg,quilt,train,"['Dermatopathology', 'Others', 'Hematopathology']","['Epithelioid area', 'Spindle areas', 'Mitotic figure', 'Asymmetry']", pleomorphic they're not strikingly bizarre and atypical but they're pleomorphic and there's a lot of cells per unitary and there's also a somewhat of a fibromucinous stroma here so once we see something like that you know we're probably gonna end up having to rely on special stains here unless we can see anything else that can help us so let's ask ourselves is there anything going on in the epidermis it may be contiguous with the lesion up in here we've got more of an epithelioid area so we've got spindle in the bottom more of an epithelioid morphology at the top and here's a mitotic figure here so we're dealing now with the malignancy so this is not symmetrical we've got an epithelioid area here we've got spindle areas in another that's a sign of asymmetry boom more likely to be malignant than not we've got atypical cells looking cytology so again we can't rely on correct on our architectural features here as well so having to use secondary features so we've got a tipi we've got mitosis have we got any epidermal involvement well we don't have anything that looks like squamous epithelial involvement or anything looks like an actinic keratosis for example that's contiguous this so that would militate against the, pleomorphic they're not strikingly bizarre and atypical but they're pleomorphic and there's a lot of cells per unit and there's also a somewhat of a fibromyxoid stroma here so once we see something like that you know we're probably gonna end up having to rely on special stains here unless we can see anything else that can help us so let's ask ourselves is there anything going on in the epidermis it may be contiguous with the lesion up in here we've got more of an epithelioid area so we've got spindle in the bottom more of an epithelioid morphology at the top and here's a mitotic figure here so we're dealing now with the malignancy so this is not symmetrical we've got an epithelioid area here we've got spindle areas in another that's a sign of asymmetry boom more likely to be malignant than not we've got atypical cells looking cytology so again we can't rely on correct on our architectural features here as well so having to use secondary features so we've got a tipi we've got mitosis have we got any epidermal involvement well we don't have anything that looks like squamous epithelial involvement or anything looks like an actinic keratosis for example that's contiguous this so that would militate against the,"[[{'entity': 'Pleomorphic cells', 'concept_id': 'C1514170', 'confidence': 0.8749791979789734}, {'entity': 'fibromyxoid', 'concept_id': 'C0205766', 'confidence': 0.8987292051315308}, {'entity': 'stroma', 'concept_id': 'C0927195', 'confidence': 1.0}, {'entity': 'stains', 'concept_id': 'C0038128', 'confidence': 1.0}, {'entity': 'diagnosis', 'concept_id': 'C0011900', 'confidence': 0.9999998807907104}], [{'entity': 'presence', 'concept_id': 'C0150312', 'confidence': 1.0}, {'entity': 'epithelioid', 'concept_id': 'C0014603', 'confidence': 0.8891293406486511}, {'entity': 'area', 'concept_id': 'C0017446', 'confidence': 1.0}, {'entity': 'spindle areas', 'concept_id': 'C1166795', 'confidence': 0.8002943396568298}, {'entity': 'atypical cells', 'concept_id': 'C0333865', 'confidence': 1.0}, {'entity': 'mitotic figure', 'concept_id': 'C2698234', 'confidence': 1.0}, {'entity': 'malignancy', 'concept_id': 'C0006826', 'confidence': 1.0}], [{'entity': 'Asymmetry', 'concept_id': 'C0332514', 'confidence': 1.0}, {'entity': 'malignancy', 'concept_id': 'C0006826', 'confidence': 1.0}], [{'entity': 'involvement', 'concept_id': 'C1314939', 'confidence': 1.0}]]",2.0,1030.0,1920.0,0,0
55,"Immunohistochemical analysis of paraffin-embedded rat brain tissue using anti-P2X2 antibody. The section was pre-treated using heat mediated antigen retrieval with Tris-EDTA buffer (pH 8.0-8.4) for 20 minutes.The tissues were blocked in 5% BSA for 30 minutes at room temperature, washed with ddH2O and PBS, and then probed with the primary antibody (ER1902-59, 1/50) for 30 minutes at room temperature. The detection was performed using an HRP conjugated compact polymer system. DAB was used as the chromogen. Tissues were counterstained with hematoxylin and mounted with DPX.",00028000285730.jpg,laion,train,,,,,,,,,0,1
56,"Pleomorphic lipomas can have bigger, bizarre spindle cells and floret-like cells.",IyQQNjYRGlY_image_f989ac1c-f65d-46f6-b53c-8b9b7673bb72.jpg,quilt,train,"['Soft tissue', 'Dermatopathology', 'Hematopathology']","['spindle cells', 'floret-like cells', 'multinucleated ugly cells']"," You can sometimes see bigger, more bizarre spindle cells that can make you think of like a weld of liposarc, but usually you'll find some of these floret-like cells and that is the really useful clue. So if you see ugly cells and fat, go look and see are any of them multi-nucleated ugly cells that have a floret arrangement, good chance you're dealing with a pleomorphic lipoma. Also look away from the ugly cells and go around and see if you can find stuff that looks like regular spindle cell lipoma, because that was a trick Dr. Weiss taught me that is"," You can sometimes see bigger, more bizarre spindle cells that can make you think of like a -differentiated liposarcoma, but usually you'll find some of these floret-like cells and that is the really useful clue. So if you see ugly cells and fat, go look and see are any of them multi-nucleated ugly cells that have a floret arrangement, good chance you're dealing with a pleomorphic lipoma. Also look away from the ugly cells and go around and see if you can find stuff that looks like regular spindle cell lipoma, because that was a trick Dr. Weiss taught me that is","[[{'entity': 'Pleomorphic lipomas', 'concept_id': 'C0205823', 'confidence': 1.0}, {'entity': 'bizarre spindle cells', 'concept_id': 'C0682540', 'confidence': 0.7197739481925964}, {'entity': 'floret-like cells', 'concept_id': 'C1708072', 'confidence': 0.725459635257721}], [{'entity': 'Multinucleated', 'concept_id': 'C0333740', 'confidence': 1.0}, {'entity': 'floret-like arrangement', 'concept_id': 'C0449830', 'confidence': 0.6247130632400513}, {'entity': 'pleomorphic lipomas', 'concept_id': 'C0205823', 'confidence': 1.0}], [{'entity': 'Regular', 'concept_id': 'C0205272', 'confidence': 1.0}, {'entity': 'pleomorphic lipomas', 'concept_id': 'C0205823', 'confidence': 1.0}]]",1.0,1080.0,1920.0,0,0
57,Multinucleated ugly cells with a floret-like arrangement are a useful clue for identifying pleomorphic lipomas.,IyQQNjYRGlY_image_f989ac1c-f65d-46f6-b53c-8b9b7673bb72.jpg,quilt,train,"['Soft tissue', 'Dermatopathology', 'Hematopathology']","['spindle cells', 'floret-like cells', 'multinucleated ugly cells']"," You can sometimes see bigger, more bizarre spindle cells that can make you think of like a weld of liposarc, but usually you'll find some of these floret-like cells and that is the really useful clue. So if you see ugly cells and fat, go look and see are any of them multi-nucleated ugly cells that have a floret arrangement, good chance you're dealing with a pleomorphic lipoma. Also look away from the ugly cells and go around and see if you can find stuff that looks like regular spindle cell lipoma, because that was a trick Dr. Weiss taught me that is"," You can sometimes see bigger, more bizarre spindle cells that can make you think of like a -differentiated liposarcoma, but usually you'll find some of these floret-like cells and that is the really useful clue. So if you see ugly cells and fat, go look and see are any of them multi-nucleated ugly cells that have a floret arrangement, good chance you're dealing with a pleomorphic lipoma. Also look away from the ugly cells and go around and see if you can find stuff that looks like regular spindle cell lipoma, because that was a trick Dr. Weiss taught me that is","[[{'entity': 'Pleomorphic lipomas', 'concept_id': 'C0205823', 'confidence': 1.0}, {'entity': 'bizarre spindle cells', 'concept_id': 'C0682540', 'confidence': 0.7197739481925964}, {'entity': 'floret-like cells', 'concept_id': 'C1708072', 'confidence': 0.725459635257721}], [{'entity': 'Multinucleated', 'concept_id': 'C0333740', 'confidence': 1.0}, {'entity': 'floret-like arrangement', 'concept_id': 'C0449830', 'confidence': 0.6247130632400513}, {'entity': 'pleomorphic lipomas', 'concept_id': 'C0205823', 'confidence': 1.0}], [{'entity': 'Regular', 'concept_id': 'C0205272', 'confidence': 1.0}, {'entity': 'pleomorphic lipomas', 'concept_id': 'C0205823', 'confidence': 1.0}]]",1.0,1080.0,1920.0,0,0
58,Psoriasiform dermatitis with mounds of parakeratosis and superficial perivascular lymphocytic infiltrate.,DMz6Wl24efc_image_30d37cd1-7c3c-4a05-8380-c4b2e8786c68.jpg,quilt,train,"['Dermatopathology', 'Hematopathology', 'Head and Neck']","['Psoriasiform dermatitis', 'Mounds of parakeratosis', 'Superficial perivascular lymphocytic infiltrate', 'Psoriasiform dermatitis', 'Mounds of parakeratosis', 'Superficial perivascular lymphocytic infiltrate']"," but you don't have to have a ton of them. Okay, let's take a look at this one here. Again, notice that it's a psoriasiform dermatitis. Not as forward as we see with psoriasis. It does show a psoriasiform dermatitis here. And it's got the little mounds of parakeratosis with the superficial paravascular perforative lymphocytes. So it's not a florid psoriasiform dermatitis like we see in psoriasis, but it"," but you don't have to have a ton of them. Okay, let's take a look at this one here. Again, notice that it's a psoriasiform dermatitis. Not as forward as we see with psoriasis. It does show a psoriasiform dermatitis here. And it's got the little mounds of parakeratosis with the superficial perivascular lymphocytic infiltrate. So it's not a florid psoriasiform dermatitis like we see in psoriasis, but it","[[{'entity': 'Psoriasiform dermatitis', 'concept_id': 'C0262985', 'confidence': 1.0}, {'entity': 'mounds', 'concept_id': 'C2717795', 'confidence': 0.736616313457489}, {'entity': 'parakeratosis', 'concept_id': 'C0030436', 'confidence': 1.0}, {'entity': 'superficial', 'concept_id': 'C0205124', 'confidence': 1.0}]]",0.0,1030.0,1920.0,0,0
59,Assessing proliferation rate of a lesion can be done using KI67 coupled with melanin stain.,P5XDIyYYHr4_image_842a771f-54c7-4f46-9153-de76478cc10b.jpg,quilt,train,"['Dermatopathology', 'Soft tissue', 'Hematopathology']",[], want to do is assess the proliferation rate. So you could do a KI67 coupled with the melanase stain. So the melanase will highlight melanocytes in the cytoplasm and the KI67 will stain the nuclei of cells that are proliferative. So you should get worried about anything greater than 5% approaching 10%. So it's nice to visualize the proliferative activity of a lesion such as this., want to do is assess the proliferation rate. So you could do a KI67 coupled with the MelanA stain. So the Melan- will highlight melanocytes in the cytoplasm and the KI67 will stain the nuclei of cells that are proliferative. So you should get worried about anything greater than 5% approaching 10%. So it's nice to visualize the proliferative activity of a lesion such as this.,"[[{'entity': 'Assessing', 'concept_id': 'C2367759', 'confidence': 0.8490570783615112}, {'entity': 'proliferation', 'concept_id': 'C0334094', 'confidence': 1.0}, {'entity': 'rate', 'concept_id': 'C0871208', 'confidence': 1.0}, {'entity': 'lesion', 'concept_id': 'C0221198', 'confidence': 0.9999998807907104}, {'entity': 'KI67 coupled', 'concept_id': 'C1948027', 'confidence': 0.6209367513656616}, {'entity': 'melanin stain', 'concept_id': 'C0025196', 'confidence': 0.7990522384643555}], [{'entity': 'Melanin stain', 'concept_id': 'C0025196', 'confidence': 0.7990522384643555}, {'entity': 'melanocytes', 'concept_id': 'C0025201', 'confidence': 1.0}, {'entity': 'cytoplasm', 'concept_id': 'C0010834', 'confidence': 1.0}, {'entity': 'KI67 stains', 'concept_id': 'C0038128', 'confidence': 0.526600182056427}, {'entity': 'nuclei', 'concept_id': 'C0007610', 'confidence': 0.8452459573745728}, {'entity': 'proliferative cells', 'concept_id': 'C0334094', 'confidence': 0.8005025386810303}], [{'entity': 'Proliferation', 'concept_id': 'C0334094', 'confidence': 1.0}, {'entity': 'rate', 'concept_id': 'C0871208', 'confidence': 1.0}]]",1.0,1080.0,1920.0,0,1
60,Melanin stain highlights melanocytes in the cytoplasm and KI67 stains nuclei of proliferative cells.,P5XDIyYYHr4_image_842a771f-54c7-4f46-9153-de76478cc10b.jpg,quilt,train,"['Dermatopathology', 'Soft tissue', 'Hematopathology']",[], want to do is assess the proliferation rate. So you could do a KI67 coupled with the melanase stain. So the melanase will highlight melanocytes in the cytoplasm and the KI67 will stain the nuclei of cells that are proliferative. So you should get worried about anything greater than 5% approaching 10%. So it's nice to visualize the proliferative activity of a lesion such as this., want to do is assess the proliferation rate. So you could do a KI67 coupled with the MelanA stain. So the Melan- will highlight melanocytes in the cytoplasm and the KI67 will stain the nuclei of cells that are proliferative. So you should get worried about anything greater than 5% approaching 10%. So it's nice to visualize the proliferative activity of a lesion such as this.,"[[{'entity': 'Assessing', 'concept_id': 'C2367759', 'confidence': 0.8490570783615112}, {'entity': 'proliferation', 'concept_id': 'C0334094', 'confidence': 1.0}, {'entity': 'rate', 'concept_id': 'C0871208', 'confidence': 1.0}, {'entity': 'lesion', 'concept_id': 'C0221198', 'confidence': 0.9999998807907104}, {'entity': 'KI67 coupled', 'concept_id': 'C1948027', 'confidence': 0.6209367513656616}, {'entity': 'melanin stain', 'concept_id': 'C0025196', 'confidence': 0.7990522384643555}], [{'entity': 'Melanin stain', 'concept_id': 'C0025196', 'confidence': 0.7990522384643555}, {'entity': 'melanocytes', 'concept_id': 'C0025201', 'confidence': 1.0}, {'entity': 'cytoplasm', 'concept_id': 'C0010834', 'confidence': 1.0}, {'entity': 'KI67 stains', 'concept_id': 'C0038128', 'confidence': 0.526600182056427}, {'entity': 'nuclei', 'concept_id': 'C0007610', 'confidence': 0.8452459573745728}, {'entity': 'proliferative cells', 'concept_id': 'C0334094', 'confidence': 0.8005025386810303}], [{'entity': 'Proliferation', 'concept_id': 'C0334094', 'confidence': 1.0}, {'entity': 'rate', 'concept_id': 'C0871208', 'confidence': 1.0}]]",1.0,1080.0,1920.0,0,1
61,Proliferation rate greater than 5-10% should be a cause for concern.,P5XDIyYYHr4_image_842a771f-54c7-4f46-9153-de76478cc10b.jpg,quilt,train,"['Dermatopathology', 'Soft tissue', 'Hematopathology']",[], want to do is assess the proliferation rate. So you could do a KI67 coupled with the melanase stain. So the melanase will highlight melanocytes in the cytoplasm and the KI67 will stain the nuclei of cells that are proliferative. So you should get worried about anything greater than 5% approaching 10%. So it's nice to visualize the proliferative activity of a lesion such as this., want to do is assess the proliferation rate. So you could do a KI67 coupled with the MelanA stain. So the Melan- will highlight melanocytes in the cytoplasm and the KI67 will stain the nuclei of cells that are proliferative. So you should get worried about anything greater than 5% approaching 10%. So it's nice to visualize the proliferative activity of a lesion such as this.,"[[{'entity': 'Assessing', 'concept_id': 'C2367759', 'confidence': 0.8490570783615112}, {'entity': 'proliferation', 'concept_id': 'C0334094', 'confidence': 1.0}, {'entity': 'rate', 'concept_id': 'C0871208', 'confidence': 1.0}, {'entity': 'lesion', 'concept_id': 'C0221198', 'confidence': 0.9999998807907104}, {'entity': 'KI67 coupled', 'concept_id': 'C1948027', 'confidence': 0.6209367513656616}, {'entity': 'melanin stain', 'concept_id': 'C0025196', 'confidence': 0.7990522384643555}], [{'entity': 'Melanin stain', 'concept_id': 'C0025196', 'confidence': 0.7990522384643555}, {'entity': 'melanocytes', 'concept_id': 'C0025201', 'confidence': 1.0}, {'entity': 'cytoplasm', 'concept_id': 'C0010834', 'confidence': 1.0}, {'entity': 'KI67 stains', 'concept_id': 'C0038128', 'confidence': 0.526600182056427}, {'entity': 'nuclei', 'concept_id': 'C0007610', 'confidence': 0.8452459573745728}, {'entity': 'proliferative cells', 'concept_id': 'C0334094', 'confidence': 0.8005025386810303}], [{'entity': 'Proliferation', 'concept_id': 'C0334094', 'confidence': 1.0}, {'entity': 'rate', 'concept_id': 'C0871208', 'confidence': 1.0}]]",1.0,1080.0,1920.0,0,1
62,Discussion of small cell carcinoma and its characteristics.,4i1mnz889bo_image_af61fd16-301f-4d3d-beb7-c198589a5a1e.jpg,quilt,train,"['Pulmonary', 'Hematopathology', 'Head and Neck']",[]," Yes, but I mean... Is that a small cell too? So there's a lot of cytoplasm in those cells, right? Those three or four big cells? Yeah, but small cell does not correlate to... Does it correlate with the name? It doesn't. It's like a misnomer. Yeah, correct. So they can be... So you're right, you can have larger cells in small cells, right? The cells are actually quite large. The WHO actually says something like three times the size of a resting lymphocyte or something like that. Have you ever seen a resting lymphocyte? No. But they... Anyway, the point is, yes, you can have big cells in small cells, but you should not have abundant cytoplasm. That's one thing that is sort of... By definition, that cannot be small cell carcinoma. You should not have abundant cytoplasm. So my question to you now as a group, what do we do with that? So is this a non-small cell carcinoma then? Combines. Combines, yes. Josephine, very good. Now explain to the audience what that means. What does combined small cell carcinoma mean? There is a component that is not small cell. Yes, and does it have to be any kind of percentage? Technically, yes. You have to have, let's say, about 10% or so, a substantial percentage. But in a small biopsy, how do you know that this is representing the true percentage of the resection? The point to make is that sometimes in small cell carcinoma, you will find a non-small cell component. Now tell me how will this behave, like small cell or non-small cell? Small cell."," Yes, but I mean... Is that a small cell too? So there's a lot of cytoplasm in those cells, right? Those three or four big cells? Yeah, but small cell does not correlate to... Does it correlate with the name? It doesn't. It's like a misnomer. Yeah, correct. So they can be... So you're right, you can have larger cells in small cells, right? The cells are actually quite large. The WHO actually says something like three times the size of a resting lymphocyte or something like that. Have you ever seen a resting lymphocyte? No. But they... Anyway, the point is, yes, you can have big cells in small cells, but you should not have abundant cytoplasm. That's one thing that is sort of... By definition, that cannot be small cell carcinoma. You should not have abundant cytoplasm. So my question to you now as a group, what do we do with that? So is this a non-small cell carcinoma then? Combines. Combines, yes. Josephine, very good. Now explain to the audience what that means. What does combined small cell carcinoma mean? There is a component that is not small cell. Yes, and does it have to be any kind of percentage? Technically, yes. You have to have, let's say, about 10% or so, a substantial percentage. But in a small biopsy, how do you know that this is representing the true percentage of the resection? The point to make is that sometimes in small cell carcinoma, you will find a small cell component. Now tell me how will this behave, like small cell or non-small cell? Small cell.","[[{'entity': 'small cell carcinoma', 'concept_id': 'C0149925', 'confidence': 1.0}, {'entity': 'characteristics', 'concept_id': 'C1521970', 'confidence': 1.0}], [{'entity': 'Abundant', 'concept_id': 'C2346714', 'confidence': 0.9999998807907104}, {'entity': 'cytoplasm', 'concept_id': 'C0010834', 'confidence': 1.0}, {'entity': 'small cell carcinoma', 'concept_id': 'C0149925', 'confidence': 1.0}], [{'entity': 'cell carcinoma carcinoma', 'concept_id': 'C1518174', 'confidence': 0.9655991792678833}, {'entity': 'presence', 'concept_id': 'C0150312', 'confidence': 1.0}, {'entity': 'non-small cell carcinoma', 'concept_id': 'C1266002', 'confidence': 1.0}, {'entity': 'component', 'concept_id': 'C0449432', 'confidence': 1.0}]]",2.0,1080.0,1920.0,0,0
63,Abundant cytoplasm is not seen in small cell carcinoma.,4i1mnz889bo_image_af61fd16-301f-4d3d-beb7-c198589a5a1e.jpg,quilt,train,"['Pulmonary', 'Hematopathology', 'Head and Neck']",[]," Yes, but I mean... Is that a small cell too? So there's a lot of cytoplasm in those cells, right? Those three or four big cells? Yeah, but small cell does not correlate to... Does it correlate with the name? It doesn't. It's like a misnomer. Yeah, correct. So they can be... So you're right, you can have larger cells in small cells, right? The cells are actually quite large. The WHO actually says something like three times the size of a resting lymphocyte or something like that. Have you ever seen a resting lymphocyte? No. But they... Anyway, the point is, yes, you can have big cells in small cells, but you should not have abundant cytoplasm. That's one thing that is sort of... By definition, that cannot be small cell carcinoma. You should not have abundant cytoplasm. So my question to you now as a group, what do we do with that? So is this a non-small cell carcinoma then? Combines. Combines, yes. Josephine, very good. Now explain to the audience what that means. What does combined small cell carcinoma mean? There is a component that is not small cell. Yes, and does it have to be any kind of percentage? Technically, yes. You have to have, let's say, about 10% or so, a substantial percentage. But in a small biopsy, how do you know that this is representing the true percentage of the resection? The point to make is that sometimes in small cell carcinoma, you will find a non-small cell component. Now tell me how will this behave, like small cell or non-small cell? Small cell."," Yes, but I mean... Is that a small cell too? So there's a lot of cytoplasm in those cells, right? Those three or four big cells? Yeah, but small cell does not correlate to... Does it correlate with the name? It doesn't. It's like a misnomer. Yeah, correct. So they can be... So you're right, you can have larger cells in small cells, right? The cells are actually quite large. The WHO actually says something like three times the size of a resting lymphocyte or something like that. Have you ever seen a resting lymphocyte? No. But they... Anyway, the point is, yes, you can have big cells in small cells, but you should not have abundant cytoplasm. That's one thing that is sort of... By definition, that cannot be small cell carcinoma. You should not have abundant cytoplasm. So my question to you now as a group, what do we do with that? So is this a non-small cell carcinoma then? Combines. Combines, yes. Josephine, very good. Now explain to the audience what that means. What does combined small cell carcinoma mean? There is a component that is not small cell. Yes, and does it have to be any kind of percentage? Technically, yes. You have to have, let's say, about 10% or so, a substantial percentage. But in a small biopsy, how do you know that this is representing the true percentage of the resection? The point to make is that sometimes in small cell carcinoma, you will find a small cell component. Now tell me how will this behave, like small cell or non-small cell? Small cell.","[[{'entity': 'small cell carcinoma', 'concept_id': 'C0149925', 'confidence': 1.0}, {'entity': 'characteristics', 'concept_id': 'C1521970', 'confidence': 1.0}], [{'entity': 'Abundant', 'concept_id': 'C2346714', 'confidence': 0.9999998807907104}, {'entity': 'cytoplasm', 'concept_id': 'C0010834', 'confidence': 1.0}, {'entity': 'small cell carcinoma', 'concept_id': 'C0149925', 'confidence': 1.0}], [{'entity': 'cell carcinoma carcinoma', 'concept_id': 'C1518174', 'confidence': 0.9655991792678833}, {'entity': 'presence', 'concept_id': 'C0150312', 'confidence': 1.0}, {'entity': 'non-small cell carcinoma', 'concept_id': 'C1266002', 'confidence': 1.0}, {'entity': 'component', 'concept_id': 'C0449432', 'confidence': 1.0}]]",2.0,1080.0,1920.0,0,0
64,"Combined small cell carcinoma carcinoma refers to the presence of a non-small cell carcinoma component, typically at least 10%.",4i1mnz889bo_image_af61fd16-301f-4d3d-beb7-c198589a5a1e.jpg,quilt,train,"['Pulmonary', 'Hematopathology', 'Head and Neck']",[]," Yes, but I mean... Is that a small cell too? So there's a lot of cytoplasm in those cells, right? Those three or four big cells? Yeah, but small cell does not correlate to... Does it correlate with the name? It doesn't. It's like a misnomer. Yeah, correct. So they can be... So you're right, you can have larger cells in small cells, right? The cells are actually quite large. The WHO actually says something like three times the size of a resting lymphocyte or something like that. Have you ever seen a resting lymphocyte? No. But they... Anyway, the point is, yes, you can have big cells in small cells, but you should not have abundant cytoplasm. That's one thing that is sort of... By definition, that cannot be small cell carcinoma. You should not have abundant cytoplasm. So my question to you now as a group, what do we do with that? So is this a non-small cell carcinoma then? Combines. Combines, yes. Josephine, very good. Now explain to the audience what that means. What does combined small cell carcinoma mean? There is a component that is not small cell. Yes, and does it have to be any kind of percentage? Technically, yes. You have to have, let's say, about 10% or so, a substantial percentage. But in a small biopsy, how do you know that this is representing the true percentage of the resection? The point to make is that sometimes in small cell carcinoma, you will find a non-small cell component. Now tell me how will this behave, like small cell or non-small cell? Small cell."," Yes, but I mean... Is that a small cell too? So there's a lot of cytoplasm in those cells, right? Those three or four big cells? Yeah, but small cell does not correlate to... Does it correlate with the name? It doesn't. It's like a misnomer. Yeah, correct. So they can be... So you're right, you can have larger cells in small cells, right? The cells are actually quite large. The WHO actually says something like three times the size of a resting lymphocyte or something like that. Have you ever seen a resting lymphocyte? No. But they... Anyway, the point is, yes, you can have big cells in small cells, but you should not have abundant cytoplasm. That's one thing that is sort of... By definition, that cannot be small cell carcinoma. You should not have abundant cytoplasm. So my question to you now as a group, what do we do with that? So is this a non-small cell carcinoma then? Combines. Combines, yes. Josephine, very good. Now explain to the audience what that means. What does combined small cell carcinoma mean? There is a component that is not small cell. Yes, and does it have to be any kind of percentage? Technically, yes. You have to have, let's say, about 10% or so, a substantial percentage. But in a small biopsy, how do you know that this is representing the true percentage of the resection? The point to make is that sometimes in small cell carcinoma, you will find a small cell component. Now tell me how will this behave, like small cell or non-small cell? Small cell.","[[{'entity': 'small cell carcinoma', 'concept_id': 'C0149925', 'confidence': 1.0}, {'entity': 'characteristics', 'concept_id': 'C1521970', 'confidence': 1.0}], [{'entity': 'Abundant', 'concept_id': 'C2346714', 'confidence': 0.9999998807907104}, {'entity': 'cytoplasm', 'concept_id': 'C0010834', 'confidence': 1.0}, {'entity': 'small cell carcinoma', 'concept_id': 'C0149925', 'confidence': 1.0}], [{'entity': 'cell carcinoma carcinoma', 'concept_id': 'C1518174', 'confidence': 0.9655991792678833}, {'entity': 'presence', 'concept_id': 'C0150312', 'confidence': 1.0}, {'entity': 'non-small cell carcinoma', 'concept_id': 'C1266002', 'confidence': 1.0}, {'entity': 'component', 'concept_id': 'C0449432', 'confidence': 1.0}]]",2.0,1080.0,1920.0,0,0
65,"Architecture in cytology cytopath: fragments from papillary urothelial neoplasms in urinary tract washing cytopathology specimens: PUNLMP, LGUC, LGUC, and HGUC on concurrent bx.",1228050614690643969_2.jpg,openpath,train,,,,,,,,,0,1
66,"Description of the anatomy of the adrenal gland, including the capsule, cortex, and medulla.",7yjxG3KmX98_image_6813fb23-758f-4aed-9deb-2fd88d7c2975.jpg,quilt,train,"['Endocrine', 'Renal', 'Soft tissue']",['Capsule']," with a nice capsule and kind of glomeruloid little structures underneath the capsule, then little streaming fascicles underneath that, which is the majority of the cortex, and then kind of a reticulated pattern again towards the deeper layer. But in contrast, usually the cortex is really the greatest thickness and weight of the adrenal gland. In this case, it looks like the medulla is tremendously"," with a nice capsule and kind of glomeruloid little structures underneath the capsule, then little stromal cells underneath that, which is the majority of the cortex, and then kind of a reticular pattern again towards the deeper layer. But in contrast, usually the cortex is really the greatest thickness and weight of the adrenal gland. In this case, it looks like the medulla is tremendously","[[{'entity': 'Description', 'concept_id': 'C0678257', 'confidence': 1.0}, {'entity': 'anatomy', 'concept_id': 'C0002808', 'confidence': 1.0}, {'entity': 'adrenal gland', 'concept_id': 'C0001625', 'confidence': 1.0}, {'entity': 'capsule', 'concept_id': 'C0006935', 'confidence': 1.0}, {'entity': 'cortex', 'concept_id': 'C0001614', 'confidence': 0.9999998807907104}, {'entity': 'medulla', 'concept_id': 'C0025148', 'confidence': 1.0}], [{'entity': 'cortex', 'concept_id': 'C0001614', 'confidence': 0.9999998807907104}, {'entity': 'thickest', 'concept_id': 'C0205400', 'confidence': 0.6401018500328064}, {'entity': 'heaviest', 'concept_id': 'C1708341', 'confidence': 0.6373292207717896}, {'entity': 'gland', 'concept_id': 'C1285092', 'confidence': 1.0}, {'entity': 'case', 'concept_id': 'C0868928', 'confidence': 1.0}, {'entity': 'medulla', 'concept_id': 'C0025148', 'confidence': 1.0}, {'entity': 'larger', 'concept_id': 'C0549177', 'confidence': 1.0}]]",0.0,720.0,754.0,0,1
67,"The cortex is typically the thickest and heaviest part of the gland, but in this case, the medulla appears to be larger.",7yjxG3KmX98_image_6813fb23-758f-4aed-9deb-2fd88d7c2975.jpg,quilt,train,"['Endocrine', 'Renal', 'Soft tissue']",['Capsule']," with a nice capsule and kind of glomeruloid little structures underneath the capsule, then little streaming fascicles underneath that, which is the majority of the cortex, and then kind of a reticulated pattern again towards the deeper layer. But in contrast, usually the cortex is really the greatest thickness and weight of the adrenal gland. In this case, it looks like the medulla is tremendously"," with a nice capsule and kind of glomeruloid little structures underneath the capsule, then little stromal cells underneath that, which is the majority of the cortex, and then kind of a reticular pattern again towards the deeper layer. But in contrast, usually the cortex is really the greatest thickness and weight of the adrenal gland. In this case, it looks like the medulla is tremendously","[[{'entity': 'Description', 'concept_id': 'C0678257', 'confidence': 1.0}, {'entity': 'anatomy', 'concept_id': 'C0002808', 'confidence': 1.0}, {'entity': 'adrenal gland', 'concept_id': 'C0001625', 'confidence': 1.0}, {'entity': 'capsule', 'concept_id': 'C0006935', 'confidence': 1.0}, {'entity': 'cortex', 'concept_id': 'C0001614', 'confidence': 0.9999998807907104}, {'entity': 'medulla', 'concept_id': 'C0025148', 'confidence': 1.0}], [{'entity': 'cortex', 'concept_id': 'C0001614', 'confidence': 0.9999998807907104}, {'entity': 'thickest', 'concept_id': 'C0205400', 'confidence': 0.6401018500328064}, {'entity': 'heaviest', 'concept_id': 'C1708341', 'confidence': 0.6373292207717896}, {'entity': 'gland', 'concept_id': 'C1285092', 'confidence': 1.0}, {'entity': 'case', 'concept_id': 'C0868928', 'confidence': 1.0}, {'entity': 'medulla', 'concept_id': 'C0025148', 'confidence': 1.0}, {'entity': 'larger', 'concept_id': 'C0549177', 'confidence': 1.0}]]",0.0,720.0,754.0,0,1
